"Config","Run","Phase","ElapsedMs","E2EPartialMs","E2EFinalMs","SttMs"
"base-st3","1","speech","217","0","0","0"
"base-st3","1","speech","551","0","0","0"
"base-st3","1","speech","905","0","0","0"
"base-st3","1","speech","1219","0","0","0"
"base-st3","1","speech","1960","0","0","0"
"base-st3","1","speech","2462","0","0","0"
"base-st3","1","speech","2679","0","0","0"
"base-st3","1","speech","2923","0","0","0"
"base-st3","1","speech","3154","0","0","0"
"base-st3","1","speech","3381","0","0","0"
"base-st3","1","speech","3593","0","0","0"
"base-st3","1","speech","3801","0","0","0"
"base-st3","1","speech","4087","0","0","0"
"base-st3","1","speech","4361","0","0","0"
"base-st3","1","speech","4592","0","0","0"
"base-st3","1","speech","4825","0","0","0"
"base-st3","1","speech","5090","0","0","0"
"base-st3","1","speech","5330","0","0","0"
"base-st3","1","speech","5551","0","0","0"
"base-st3","1","speech","5774","0","0","0"
"base-st3","1","speech","5996","0","0","0"
"base-st3","1","speech","6275","0","0","0"
"base-st3","1","speech","6521","0","0","0"
"base-st3","1","speech","6782","0","0","0"
"base-st3","1","speech","7007","0","0","0"
"base-st3","1","speech","7249","0","0","0"
"base-st3","1","speech","7479","0","0","0"
"base-st3","1","speech","7698","0","0","0"
"base-st3","1","speech","8035","0","0","0"
"base-st3","1","speech","8419","0","0","5956"
"base-st3","1","speech","8713","0","0","5956"
"base-st3","1","speech","8937","0","0","5956"
"base-st3","1","speech","9235","0","0","5956"
"base-st3","1","speech","9477","0","0","5956"
"base-st3","1","speech","9710","0","0","5956"
"base-st3","1","speech","9933","0","0","5956"
"base-st3","1","speech","10196","0","0","5956"
"base-st3","1","speech","10485","0","0","6258"
"base-st3","1","speech","10726","0","0","6258"
"base-st3","1","speech","10969","0","0","6258"
"base-st3","1","speech","11206","0","0","6258"
"base-st3","1","speech","11457","0","0","6258"
"base-st3","1","speech","11712","0","0","6258"
"base-st3","1","speech","11944","0","0","6258"
"base-st3","1","speech","12249","0","0","6258"
"base-st3","1","speech","12632","0","0","6258"
"base-st3","1","speech","12881","0","0","6258"
"base-st3","1","speech","13093","0","0","6258"
"base-st3","1","speech","13369","0","0","6258"
"base-st3","1","speech","13631","0","0","6258"
"base-st3","1","speech","13921","0","0","6258"
"base-st3","1","speech","14134","0","0","6258"
"base-st3","1","speech","14394","0","0","6258"
"base-st3","1","speech","14700","0","0","6258"
"base-st3","1","speech","14938","0","0","6258"
"base-st3","1","speech","15158","0","0","6258"
"base-st3","1","speech","15368","0","0","6258"
"base-st3","1","speech","15596","0","0","6258"
"base-st3","1","speech","15826","0","0","6258"
"base-st3","1","speech","16081","0","0","6258"
"base-st3","1","speech","16372","0","0","6258"
"base-st3","1","speech","16670","0","0","6258"
"base-st3","1","speech","16966","0","0","6230"
"base-st3","1","speech","17201","0","0","6230"
"base-st3","1","speech","17441","0","0","6230"
"base-st3","1","speech","17697","0","0","6230"
"base-st3","1","speech","17911","0","0","6230"
"base-st3","1","speech","18128","0","0","6230"
"base-st3","1","speech","18354","0","0","6230"
"base-st3","1","speech","18607","0","0","6230"
"base-st3","1","speech","18857","0","0","6230"
